bear,GMT.Date,GMT.Time,Latitude,Longitude
33488,18.08.2016,4:20:00,30.9116,-88.04498
33488,18.08.2016,5:20:00,30.91133,-88.04504
33488,18.08.2016,6:20:00,30.90989,-88.04541
33488,18.08.2016,7:20:00,30.90939,-88.04676
33488,18.08.2016,8:20:00,30.90951,-88.04657
33488,18.08.2016,9:20:00,30.90928,-88.04662
33488,18.08.2016,10:20:00,30.90948,-88.04695
33488,18.08.2016,11:20:00,30.90956,-88.04623
33488,18.08.2016,12:20:00,30.9097,-88.04628
33488,18.08.2016,13:20:00,30.90971,-88.04636
33488,18.08.2016,14:20:00,30.9097,-88.04628
33488,18.08.2016,15:20:00,30.90907,-88.04879
33488,18.08.2016,16:20:00,30.90934,-88.04882
33488,18.08.2016,17:20:00,30.90916,-88.04885
33488,18.08.2016,18:20:00,30.90925,-88.04888
33488,18.08.2016,19:20:00,30.90923,-88.0489
33488,18.08.2016,20:20:00,30.90922,-88.04893
33488,18.08.2016,21:20:00,30.90927,-88.04895
33488,18.08.2016,22:20:00,30.91145,-88.04832
33488,19.08.2016,1:02:00,30.9137,-88.05077
33488,19.08.2016,2:02:00,30.91342,-88.05283
33488,19.08.2016,3:02:00,30.91158,-88.05419
33488,19.08.2016,4:02:00,30.90882,-88.05541
33488,19.08.2016,5:02:00,30.91393,-88.05258
33488,19.08.2016,6:02:00,30.91398,-88.05258
33488,20.08.2016,1:01:00,30.91389,-88.05252
33488,20.08.2016,2:01:00,30.91363,-88.05242
33488,20.08.2016,3:01:00,30.91395,-88.05245
33488,20.08.2016,4:01:00,30.91395,-88.0524
33488,20.08.2016,5:01:00,30.91398,-88.0524
33488,20.08.2016,6:01:00,30.91406,-88.05233
33488,20.08.2016,7:01:00,30.91399,-88.05245
33488,20.08.2016,8:01:00,30.91401,-88.05231
33488,20.08.2016,9:01:00,30.91348,-88.0527
33488,20.08.2016,10:01:00,30.91345,-88.05281
33488,20.08.2016,11:01:00,30.91344,-88.05284
33488,20.08.2016,12:01:00,30.91356,-88.05228
33488,20.08.2016,13:01:00,30.91364,-88.05239
33488,20.08.2016,14:01:00,30.91364,-88.05226
33488,20.08.2016,15:01:00,30.91379,-88.05258
33488,20.08.2016,16:01:00,30.91307,-88.05268
33488,20.08.2016,17:01:00,30.91353,-88.05239
33488,20.08.2016,18:01:00,30.91353,-88.05231
33488,20.08.2016,19:01:00,30.91342,-88.0528
33488,20.08.2016,20:01:00,30.91337,-88.05287
33488,20.08.2016,21:01:00,30.9102,-88.0548
33488,20.08.2016,22:01:00,30.90945,-88.0559
33488,21.08.2016,1:03:00,30.90783,-88.05702
33488,21.08.2016,2:03:00,30.90791,-88.05926
33488,21.08.2016,3:03:00,30.9091,-88.06017
33488,21.08.2016,4:03:00,30.90843,-88.06072
33488,21.08.2016,5:03:00,30.90847,-88.06055
33488,21.08.2016,6:03:00,30.90845,-88.06059
33488,21.08.2016,7:03:00,30.90849,-88.06063
33488,21.08.2016,8:03:00,30.90717,-88.057
33488,21.08.2016,9:03:00,30.90613,-88.05466
33488,21.08.2016,10:03:00,30.9046,-88.05184
33488,21.08.2016,11:03:00,30.89871,-88.04998
33488,21.08.2016,12:03:00,30.89855,-88.04975
33488,21.08.2016,13:03:00,30.89893,-88.04918
33488,21.08.2016,14:03:00,30.89883,-88.0492
33488,21.08.2016,15:03:00,30.89873,-88.04907
33488,21.08.2016,16:03:00,30.89891,-88.04943
33488,21.08.2016,17:03:00,30.89879,-88.04917
33488,21.08.2016,18:03:00,30.89873,-88.04978
33488,21.08.2016,19:03:00,30.90238,-88.05242
33488,21.08.2016,20:03:00,30.90431,-88.05472
33488,21.08.2016,21:03:00,30.90572,-88.05383
33488,21.08.2016,22:03:00,30.90974,-88.05448
33488,22.08.2016,1:02:00,30.9014,-88.06111
33488,22.08.2016,2:02:00,30.90164,-88.06033
33488,22.08.2016,3:02:00,30.90184,-88.06117
33488,22.08.2016,4:02:00,30.90186,-88.06121
33488,22.08.2016,5:02:00,30.90182,-88.06112
