bear,year,day,julinaday,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33505,15,300,15300,27.10.2015,20,:01,20:01:00,31.44034,-88.17441
33505,15,300,15300,27.10.2015,21,:00,21:00:00,31.43729,-88.16462
33505,15,300,15300,27.10.2015,22,:01,22:01:00,31.4373,-88.16477
33505,15,300,15300,27.10.2015,23,:00,23:00:00,31.43755,-88.16456
33505,15,301,15301,28.10.2015,0,:01,0:01:00,31.43752,-88.16458
33505,15,301,15301,28.10.2015,1,:00,1:00:00,31.42419,-88.15663
33505,15,301,15301,28.10.2015,2,:01,2:01:00,31.41086,-88.17494
33505,15,301,15301,28.10.2015,3,:02,3:02:00,31.40588,-88.19924
33505,15,301,15301,28.10.2015,4,:01,4:01:00,31.40592,-88.19916
33505,15,301,15301,28.10.2015,5,:01,5:01:00,31.40583,-88.19919
33505,15,301,15301,28.10.2015,7,:01,7:01:00,31.40584,-88.19924
33505,15,301,15301,28.10.2015,9,:02,9:02:00,31.40605,-88.19946
33505,15,301,15301,28.10.2015,11,:03,11:03:00,31.40585,-88.19931
33505,15,301,15301,28.10.2015,13,:01,13:01:00,31.40587,-88.19919
33505,15,301,15301,28.10.2015,14,:02,14:02:00,31.40608,-88.19927
33505,15,301,15301,28.10.2015,15,:01,15:01:00,31.40766,-88.20209
33505,15,301,15301,28.10.2015,16,:00,16:00:00,31.40743,-88.2028
33505,15,301,15301,28.10.2015,17,:00,17:00:00,31.39553,-88.20529
33505,15,301,15301,28.10.2015,18,:00,18:00:00,31.3951,-88.20506
33505,15,301,15301,28.10.2015,19,:01,19:01:00,31.38974,-88.21952
33505,15,301,15301,28.10.2015,20,:00,20:00:00,31.38442,-88.22687
33505,15,301,15301,28.10.2015,21,:00,21:00:00,31.3846,-88.22698
33505,15,301,15301,28.10.2015,22,:03,22:03:00,31.38699,-88.2265
33505,15,301,15301,28.10.2015,23,:01,23:01:00,31.38179,-88.23799
33505,15,302,15302,29.10.2015,0,:00,0:00:00,31.38091,-88.24506
33505,15,302,15302,29.10.2015,1,:00,1:00:00,31.38072,-88.2453
33505,15,302,15302,29.10.2015,2,:01,2:01:00,31.38235,-88.24506
33505,15,302,15302,29.10.2015,3,:00,3:00:00,31.38245,-88.2452
33505,15,302,15302,29.10.2015,4,:02,4:02:00,31.38232,-88.24517
33505,15,302,15302,29.10.2015,5,:00,5:00:00,31.38208,-88.24578
33505,15,302,15302,29.10.2015,6,:00,6:00:00,31.38129,-88.24472
33505,15,302,15302,29.10.2015,9,:03,9:03:00,31.38193,-88.24343
33505,15,302,15302,29.10.2015,11,:01,11:01:00,31.3822,-88.24365
33505,15,302,15302,29.10.2015,13,:03,13:03:00,31.38211,-88.24353
33505,15,302,15302,29.10.2015,14,:00,14:00:00,31.38216,-88.24353
33505,15,302,15302,29.10.2015,15,:01,15:01:00,31.3815,-88.24446
33505,15,302,15302,29.10.2015,16,:00,16:00:00,31.38086,-88.24503
33505,15,302,15302,29.10.2015,17,:00,17:00:00,31.38069,-88.24555
33505,15,302,15302,29.10.2015,18,:01,18:01:00,31.37724,-88.24414
33505,15,302,15302,29.10.2015,20,:00,20:00:00,31.38072,-88.24571
33505,15,302,15302,29.10.2015,21,:00,21:00:00,31.38066,-88.24549
33505,15,302,15302,29.10.2015,22,:01,22:01:00,31.38117,-88.2451
33505,15,302,15302,29.10.2015,23,:01,23:01:00,31.37668,-88.25626
33505,15,303,15303,30.10.2015,0,:00,0:00:00,31.38073,-88.26497
33505,15,303,15303,30.10.2015,1,:03,1:03:00,31.38541,-88.26972
33505,15,303,15303,30.10.2015,2,:01,2:01:00,31.39563,-88.27821
33505,15,303,15303,30.10.2015,3,:00,3:00:00,31.40924,-88.2754
33505,15,303,15303,30.10.2015,4,:02,4:02:00,31.40707,-88.27204
33505,15,303,15303,30.10.2015,11,:01,11:01:00,31.40655,-88.27073
33505,15,303,15303,30.10.2015,13,:03,13:03:00,31.40449,-88.26557
33505,15,303,15303,30.10.2015,14,:00,14:00:00,31.40806,-88.26603
33505,15,303,15303,30.10.2015,15,:01,15:01:00,31.41153,-88.26284
33505,15,303,15303,30.10.2015,16,:00,16:00:00,31.41174,-88.26316
33505,15,303,15303,30.10.2015,17,:00,17:00:00,31.41096,-88.26309
33505,15,303,15303,30.10.2015,18,:03,18:03:00,31.41839,-88.26212
33505,15,303,15303,30.10.2015,19,:01,19:01:00,31.4185,-88.2621
33505,15,303,15303,30.10.2015,20,:01,20:01:00,31.41854,-88.26201
33505,15,303,15303,30.10.2015,21,:01,21:01:00,31.42495,-88.26621
33505,15,303,15303,30.10.2015,22,:01,22:01:00,31.41466,-88.27851
33505,15,303,15303,30.10.2015,23,:01,23:01:00,31.40847,-88.27275
33505,15,304,15304,31.10.2015,0,:00,0:00:00,31.40763,-88.27221
33505,15,304,15304,31.10.2015,1,:00,1:00:00,31.40749,-88.27245
33505,15,304,15304,31.10.2015,2,:00,2:00:00,31.4069,-88.27198
33505,15,304,15304,31.10.2015,3,:02,3:02:00,31.40817,-88.26795
33505,15,304,15304,31.10.2015,4,:02,4:02:00,31.40344,-88.2654
33505,15,304,15304,31.10.2015,5,:00,5:00:00,31.39886,-88.26239
33505,15,304,15304,31.10.2015,6,:00,6:00:00,31.39893,-88.26244
33505,15,304,15304,31.10.2015,8,:00,8:00:00,31.3989,-88.26234
33505,15,304,15304,31.10.2015,12,:03,12:03:00,31.40032,-88.26203
33505,15,304,15304,31.10.2015,13,:01,13:01:00,31.40313,-88.26547
33505,15,304,15304,31.10.2015,14,:00,14:00:00,31.40318,-88.2656
33505,15,304,15304,31.10.2015,16,:03,16:03:00,31.3928,-88.26683
