bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33503,15,297,15297,24.10.2015,2,:00,2:00:00,31.40914,-88.27539
33503,15,297,15297,24.10.2015,3,:00,3:00:00,31.40773,-88.27663
33503,15,297,15297,24.10.2015,4,:00,4:00:00,31.40775,-88.27668
33503,15,297,15297,24.10.2015,5,:00,5:00:00,31.40906,-88.27554
33503,15,297,15297,24.10.2015,6,:00,6:00:00,31.40926,-88.27546
33503,15,297,15297,24.10.2015,7,:00,7:00:00,31.40447,-88.27113
33503,15,297,15297,24.10.2015,8,:00,8:00:00,31.4032,-88.26566
33503,15,297,15297,24.10.2015,10,:03,10:03:00,31.40167,-88.26639
33503,15,297,15297,24.10.2015,15,:02,15:02:00,31.40136,-88.2663
33503,15,297,15297,24.10.2015,16,:00,16:00:00,31.3997,-88.26828
33503,15,297,15297,24.10.2015,17,:00,17:00:00,31.39175,-88.26774
33503,15,297,15297,24.10.2015,18,:03,18:03:00,31.38654,-88.2738
33503,15,297,15297,24.10.2015,19,:00,19:00:00,31.38302,-88.26604
33503,15,297,15297,24.10.2015,20,:01,20:01:00,31.3866,-88.26866
33503,15,297,15297,24.10.2015,22,:01,22:01:00,31.39557,-88.27832
33503,15,297,15297,24.10.2015,23,:03,23:03:00,31.40238,-88.27631
33503,15,298,15298,25.10.2015,0,:00,0:00:00,31.40923,-88.27552
33503,15,298,15298,25.10.2015,1,:01,1:01:00,31.40925,-88.27554
33503,15,298,15298,25.10.2015,2,:00,2:00:00,31.40925,-88.2756
33503,15,298,15298,25.10.2015,3,:01,3:01:00,31.41224,-88.27304
33503,15,298,15298,25.10.2015,4,:00,4:00:00,31.41226,-88.27294
33503,15,298,15298,25.10.2015,5,:00,5:00:00,31.41307,-88.27093
33503,15,298,15298,25.10.2015,6,:01,6:01:00,31.41314,-88.27113
33503,15,298,15298,25.10.2015,7,:02,7:02:00,31.4108,-88.26812
33503,15,298,15298,25.10.2015,8,:01,8:01:00,31.41001,-88.26322
33503,15,298,15298,25.10.2015,9,:03,9:03:00,31.4099,-88.26316
33503,15,298,15298,25.10.2015,10,:03,10:03:00,31.40986,-88.26329
33503,15,298,15298,25.10.2015,11,:02,11:02:00,31.40991,-88.26316
33503,15,298,15298,25.10.2015,12,:01,12:01:00,31.40989,-88.26316
33503,15,298,15298,25.10.2015,15,:01,15:01:00,31.40989,-88.26316
33503,15,298,15298,25.10.2015,16,:01,16:01:00,31.41075,-88.26305
33503,15,298,15298,25.10.2015,17,:03,17:03:00,31.41567,-88.26157
33503,15,298,15298,25.10.2015,18,:02,18:02:00,31.42008,-88.25851
33503,15,298,15298,25.10.2015,20,:01,20:01:00,31.42581,-88.24221
33503,15,298,15298,25.10.2015,21,:00,21:00:00,31.42581,-88.2424
33503,15,298,15298,25.10.2015,22,:00,22:00:00,31.42574,-88.24247
33503,15,298,15298,25.10.2015,23,:00,23:00:00,31.42576,-88.24239
33503,15,299,15299,26.10.2015,0,:00,0:00:00,31.42586,-88.24237
33503,15,299,15299,26.10.2015,1,:00,1:00:00,31.42564,-88.2425
33503,15,299,15299,26.10.2015,2,:00,2:00:00,31.42581,-88.24392
33503,15,299,15299,26.10.2015,4,:01,4:01:00,31.42582,-88.24385
33503,15,299,15299,26.10.2015,5,:01,5:01:00,31.42579,-88.24386
33503,15,299,15299,26.10.2015,6,:01,6:01:00,31.42578,-88.24491
33503,15,299,15299,26.10.2015,7,:03,7:03:00,31.42583,-88.24504
33503,15,299,15299,26.10.2015,8,:02,8:02:00,31.42578,-88.24502
33503,15,299,15299,26.10.2015,12,:03,12:03:00,31.42569,-88.24494
33503,15,299,15299,26.10.2015,13,:03,13:03:00,31.42583,-88.24503
33503,15,299,15299,26.10.2015,14,:00,14:00:00,31.42589,-88.24494
33503,15,299,15299,26.10.2015,16,:02,16:02:00,31.4259,-88.24504
33503,15,299,15299,26.10.2015,17,:00,17:00:00,31.42558,-88.24264
33503,15,299,15299,26.10.2015,18,:00,18:00:00,31.42487,-88.24122
